iter	Passed	Remaining
551	4174	3388
552	4180	3379
553	4187	3371
554	4194	3362
555	4200	3354
556	4207	3346
557	4214	3338
558	4221	3330
559	4227	3321
560	4234	3313
561	4240	3305
562	4247	3297
563	4255	3289
564	4262	3281
565	4269	3274
566	4277	3266
567	4286	3259
568	4293	3252
569	4300	3244
570	4308	3236
571	4316	3229
572	4323	3221
573	4330	3214
574	4338	3206
575	4346	3199
576	4352	3191
577	4360	3183
578	4367	3175
579	4374	3167
580	4382	3160
581	4389	3152
582	4397	3145
583	4406	3138
584	4413	3131
585	4422	3124
586	4430	3117
587	4438	3110
588	4447	3103
589	4457	3097
590	4465	3090
591	4474	3083
592	4482	3076
593	4490	3069
594	4499	3062
595	4508	3055
596	4516	3048
597	4524	3041
598	4542	3041
599	4554	3036
600	4565	3031
601	4575	3024
602	4582	3017
603	4588	3008
604	4599	3003
605	4606	2995
606	4613	2986
607	4618	2978
608	4624	2969
609	4630	2960
610	4636	2952
611	4642	2943
612	4648	2934
613	4655	2926
614	4661	2918
615	4668	2909
616	4676	2903
617	4683	2894
618	4689	2886
619	4695	2878
620	4702	2869
621	4708	2861
622	4716	2854
623	4723	2846
624	4730	2838
625	4737	2830
626	4744	2822
627	4751	2814
628	4758	2806
629	4764	2798
630	4771	2790
631	4778	2782
632	4784	2773
633	4791	2765
634	4798	2758
635	4805	2750
636	4812	2742
637	4819	2734
638	4833	2730
639	4842	2723
640	4852	2717
641	4862	2711
642	4874	2706
643	4881	2698
644	4892	2692
645	4899	2684
646	4905	2676
647	4914	2669
648	4921	2661
649	4930	2654
650	4936	2646
651	4943	2638
652	4952	2631
653	4958	2623
654	4964	2614
655	4970	2606
656	4976	2598
657	4982	2589
658	4989	2581
659	4995	2573
660	5001	2565
661	5007	2556
662	5014	2548
663	5020	2540
664	5027	2532
665	5035	2525
666	5043	2517
667	5050	2510
668	5056	2501
669	5062	2493
670	5070	2486
671	5077	2478
672	5083	2470
673	5090	2462
674	5097	2454
675	5104	2446
676	5112	2439
677	5119	2431
678	5127	2423
679	5134	2416
680	5141	2408
681	5148	2400
682	5155	2392
683	5162	2384
684	5170	2377
685	5178	2370
686	5185	2362
687	5191	2354
688	5199	2346
689	5205	2338
690	5212	2330
691	5219	2322
692	5226	2315
693	5233	2307
694	5240	2299
695	5246	2291
696	5253	2283
697	5261	2276
698	5267	2268
699	5273	2260
700	5280	2252
701	5286	2244
702	5292	2235
703	5298	2227
704	5304	2219
705	5310	2211
706	5315	2202
707	5321	2194
708	5328	2186
709	5334	2178
710	5340	2170
711	5346	2162
712	5353	2154
713	5361	2147
714	5367	2139
715	5373	2131
716	5380	2123
717	5387	2116
718	5395	2108
719	5401	2100
720	5408	2092
721	5414	2084
722	5421	2076
723	5427	2069
724	5434	2061
725	5440	2053
726	5447	2045
727	5454	2037
728	5459	2029
729	5465	2021
730	5471	2013
731	5478	2005
732	5484	1997
733	5489	1989
734	5496	1981
735	5501	1973
736	5507	1965
737	5514	1957
738	5519	1949
739	5525	1941
740	5531	1933
741	5543	1927
742	5552	1920
743	5560	1913
744	5568	1906
745	5576	1898
746	5585	1891
747	5592	1884
748	5600	1876
749	5608	1869
750	5619	1863
751	5625	1855
752	5633	1847
753	5639	1839
754	5646	1832
755	5652	1824
756	5658	1816
757	5664	1808
758	5670	1800
759	5676	1792
760	5682	1784
761	5689	1776
762	5695	1769
763	5701	1761
764	5708	1753
765	5714	1745
766	5720	1737
767	5727	1730
768	5736	1723
769	5743	1715
770	5751	1708
771	5759	1701
772	5767	1693
773	5774	1686
774	5781	1678
775	5789	1671
776	5796	1663
777	5803	1656
778	5811	1648
779	5819	1641
780	5826	1633
781	5834	1626
782	5843	1619
783	5850	1611
784	5858	1604
785	5865	1596
786	5872	1589
787	5879	1581
788	5887	1574
789	5896	1567
790	5904	1560
791	5912	1552
792	5920	1545
793	5929	1538
794	5938	1531
795	5947	1524
796	5955	1516
797	5964	1509
798	5973	1502
799	5982	1495
800	5991	1488
801	6000	1481
802	6009	1474
803	6019	1467
804	6029	1460
805	6038	1453
806	6048	1446
807	6057	1439
808	6068	1432
809	6077	1425
810	6087	1418
811	6097	1411
812	6105	1404
813	6113	1397
814	6123	1390
815	6132	1382
816	6140	1375
817	6149	1368
818	6156	1360
819	6165	1353
820	6173	1345
821	6180	1338
822	6188	1330
823	6195	1323
824	6203	1315
825	6212	1308
826	6220	1301
827	6230	1294
828	6239	1287
829	6248	1279
830	6256	1272
831	6264	1264
832	6273	1257
833	6280	1250
834	6289	1242
835	6298	1235
836	6305	1228
837	6314	1220
838	6321	1213
839	6328	1205
840	6337	1198
841	6347	1191
842	6356	1183
843	6364	1176
844	6373	1169
845	6380	1161
846	6389	1154
847	6397	1146
848	6405	1139
849	6414	1131
850	6422	1124
851	6431	1117
852	6441	1110
853	6452	1103
854	6460	1095
855	6470	1088
856	6479	1081
857	6489	1074
858	6497	1066
859	6506	1059
860	6515	1051
861	6524	1044
862	6535	1037
863	6544	1030
864	6553	1022
865	6562	1015
866	6570	1008
867	6579	1000
868	6588	993
869	6596	985
870	6606	978
871	6614	970
872	6623	963
873	6631	955
874	6638	948
875	6646	940
876	6654	933
877	6661	925
878	6670	918
879	6678	910
880	6687	903
881	6695	895
882	6703	888
883	6712	880
884	6721	873
885	6730	865
886	6738	858
887	6747	851
888	6755	843
889	6764	836
890	6772	828
891	6780	820
892	6788	813
893	6796	805
894	6805	798
895	6813	790
896	6822	783
897	6829	775
898	6837	768
899	6845	760
900	6854	753
901	6862	745
902	6871	738
903	6880	730
904	6889	723
905	6897	715
906	6907	708
907	6917	700
908	6926	693
909	6936	686
910	6946	678
911	6955	671
912	6963	663
913	6972	656
914	6980	648
915	6987	640
916	6994	633
917	7001	625
918	7008	617
919	7014	609
920	7021	602
921	7028	594
922	7035	586
923	7041	579
924	7047	571
925	7054	563
926	7060	555
927	7066	548
928	7073	540
929	7080	532
930	7086	525
931	7092	517
932	7099	509
933	7106	502
934	7113	494
935	7119	486
936	7125	479
937	7132	471
938	7138	463
939	7144	456
940	7152	448
941	7159	440
942	7165	433
943	7172	425
944	7178	417
945	7184	410
946	7191	402
947	7198	394
948	7205	387
949	7212	379
950	7218	371
951	7225	364
952	7232	356
953	7238	349
954	7244	341
955	7251	333
956	7257	326
957	7264	318
958	7272	310
959	7279	303
960	7286	295
961	7292	288
962	7299	280
963	7305	272
964	7314	265
965	7321	257
966	7330	250
967	7339	242
968	7345	235
969	7353	227
970	7361	219
971	7368	212
972	7375	204
973	7382	197
974	7390	189
975	7399	181
976	7407	174
977	7415	166
978	7423	159
979	7431	151
980	7438	144
981	7448	136
982	7455	128
983	7464	121
984	7471	113
985	7480	106
986	7488	98
987	7496	91
988	7503	83
989	7509	75
990	7515	68
991	7522	60
992	7531	53
993	7540	45
994	7548	37
995	7556	30
996	7563	22
997	7570	15
998	7578	7
999	7586	0
